"variable","est","grad","obj","iter","convg","run_time","faboup_iter","faboup_convg","update_type","max_faboup_iter"
"theta_ou_11",1.13674306786504,NA,7996.94607243644,15,0,25.741208076477,4,0,"block",200
"theta_ou_21",-5.09311189925673,NA,7996.94607243644,15,0,25.741208076477,4,0,"block",200
"theta_ou_12",-0.724104815539088,NA,7996.94607243644,15,0,25.741208076477,4,0,"block",200
"theta_ou_22",6.56507140159347,NA,7996.94607243644,15,0,25.741208076477,4,0,"block",200
"sigma_ou_11",1.08830364415427,NA,7996.94607243644,15,0,25.741208076477,4,0,"block",200
"sigma_ou_22",2.41565587459127,NA,7996.94607243644,15,0,25.741208076477,4,0,"block",200
"lambda_1",1.12146806678406,3.79006288842021e-06,7996.81021424862,22,1,13.8161580562592,5,0,"block",200
"lambda_2",1.69328216191106,-1.33182015948918e-05,7996.81021424862,22,1,13.8161580562592,5,0,"block",200
"lambda_3",0.404477696675649,-1.00162323981579e-05,7996.81021424862,22,1,13.8161580562592,5,0,"block",200
"lambda_4",-1.92533882312363,-7.31030699085977e-06,7996.81021424862,22,1,13.8161580562592,5,0,"block",200
"sigma2_u_1",1.25182261171197,2.28496459064864e-06,7996.81021424862,22,1,13.8161580562592,5,0,"block",200
"sigma2_u_2",1.59713229355504,3.57139471229839e-06,7996.81021424862,22,1,13.8161580562592,5,0,"block",200
"sigma2_u_3",1.48494980812507,8.61229992832335e-06,7996.81021424862,22,1,13.8161580562592,5,0,"block",200
"sigma2_u_4",0.976801748762254,2.55594710563134e-06,7996.81021424862,22,1,13.8161580562592,5,0,"block",200
"sigma2_e_1",0.621662140506973,-2.04250949487061e-06,7996.81021424862,22,1,13.8161580562592,5,0,"block",200
"sigma2_e_2",0.474128019009118,-4.66889806383097e-06,7996.81021424862,22,1,13.8161580562592,5,0,"block",200
"sigma2_e_3",0.405979083968042,9.39553721768238e-06,7996.81021424862,22,1,13.8161580562592,5,0,"block",200
"sigma2_e_4",0.635257794307424,5.17036901404033e-06,7996.81021424862,22,1,13.8161580562592,5,0,"block",200
"theta_ou_11",1.14636293101073,NA,7996.7187395773,15,0,24.6078889369965,5,0,"block",200
"theta_ou_21",-5.0218233413544,NA,7996.7187395773,15,0,24.6078889369965,5,0,"block",200
"theta_ou_12",-0.740471593866049,NA,7996.7187395773,15,0,24.6078889369965,5,0,"block",200
"theta_ou_22",6.48483816165209,NA,7996.7187395773,15,0,24.6078889369965,5,0,"block",200
"sigma_ou_11",1.08656076252403,NA,7996.7187395773,15,0,24.6078889369965,5,0,"block",200
"sigma_ou_22",2.36588939314843,NA,7996.7187395773,15,0,24.6078889369965,5,0,"block",200
"lambda_1",1.12412908156544,9.56682792629948e-06,7996.65887810706,22,1,13.1937599182129,6,0,"block",200
"lambda_2",1.69708311403929,-3.50246012876809e-05,7996.65887810706,22,1,13.1937599182129,6,0,"block",200
"lambda_3",0.40631570305287,-1.4081509156938e-05,7996.65887810706,22,1,13.1937599182129,6,0,"block",200
"lambda_4",-1.92462302010791,-9.15090196329515e-06,7996.65887810706,22,1,13.1937599182129,6,0,"block",200
"sigma2_u_1",1.25178429531983,-4.66023633338697e-06,7996.65887810706,22,1,13.1937599182129,6,0,"block",200
"sigma2_u_2",1.59707071385133,1.51695077155178e-05,7996.65887810706,22,1,13.1937599182129,6,0,"block",200
"sigma2_u_3",1.48493241037846,3.77767121045869e-06,7996.65887810706,22,1,13.1937599182129,6,0,"block",200
"sigma2_u_4",0.97424326520813,6.368389053657e-06,7996.65887810706,22,1,13.1937599182129,6,0,"block",200
"sigma2_e_1",0.621582246529823,-5.1616508525143e-06,7996.65887810706,22,1,13.1937599182129,6,0,"block",200
"sigma2_e_2",0.474602664907956,9.89947448104544e-06,7996.65887810706,22,1,13.1937599182129,6,0,"block",200
"sigma2_e_3",0.405382523804096,-1.12032616461644e-07,7996.65887810706,22,1,13.1937599182129,6,0,"block",200
"sigma2_e_4",0.654208719951568,2.36414410204056e-06,7996.65887810706,22,1,13.1937599182129,6,0,"block",200
"theta_ou_11",1.15144543032972,NA,7996.61870898731,8,0,14.3528528213501,6,0,"block",200
"theta_ou_21",-4.98690053090272,NA,7996.61870898731,8,0,14.3528528213501,6,0,"block",200
"theta_ou_12",-0.749448410201632,NA,7996.61870898731,8,0,14.3528528213501,6,0,"block",200
"theta_ou_22",6.43892378810572,NA,7996.61870898731,8,0,14.3528528213501,6,0,"block",200
"sigma_ou_11",1.08439862091728,NA,7996.61870898731,8,0,14.3528528213501,6,0,"block",200
"sigma_ou_22",2.33703057948853,NA,7996.61870898731,8,0,14.3528528213501,6,0,"block",200
"lambda_1",1.12610401010895,-7.78927948630326e-06,7996.59220813937,21,1,12.7502789497375,7,0,"block",200
"lambda_2",1.6998695083974,-7.34633570953491e-06,7996.59220813937,21,1,12.7502789497375,7,0,"block",200
"lambda_3",0.407527468876885,-9.00156599481505e-06,7996.59220813937,21,1,12.7502789497375,7,0,"block",200
"lambda_4",-1.92451835282928,-2.20149959484495e-06,7996.59220813937,21,1,12.7502789497375,7,0,"block",200
"sigma2_u_1",1.25170518080803,-5.62874013343428e-05,7996.59220813937,21,1,12.7502789497375,7,0,"block",200
"sigma2_u_2",1.59688500647761,3.06642162364312e-05,7996.59220813937,21,1,12.7502789497375,7,0,"block",200
"sigma2_u_3",1.48492280154126,-9.82314469977208e-06,7996.59220813937,21,1,12.7502789497375,7,0,"block",200
"sigma2_u_4",0.972513518649843,-1.76000571561197e-06,7996.59220813937,21,1,12.7502789497375,7,0,"block",200
"sigma2_e_1",0.62151496938286,-1.67943517634939e-05,7996.59220813937,21,1,12.7502789497375,7,0,"block",200
"sigma2_e_2",0.475033832974664,1.89345276263575e-05,7996.59220813937,21,1,12.7502789497375,7,0,"block",200
"sigma2_e_3",0.405020086912473,-7.91289906670878e-06,7996.59220813937,21,1,12.7502789497375,7,0,"block",200
"sigma2_e_4",0.666025536958445,3.88360773895258e-06,7996.59220813937,21,1,12.7502789497375,7,0,"block",200
"theta_ou_11",1.15422656885752,NA,7996.57446745731,13,0,24.72891497612,7,0,"block",200
"theta_ou_21",-4.96886110674085,NA,7996.57446745731,13,0,24.72891497612,7,0,"block",200
"theta_ou_12",-0.754544224086952,NA,7996.57446745731,13,0,24.72891497612,7,0,"block",200
